id;cidade;oficial_sup;oficial;graduado;praca;civil;localidade
1;shabby bustling seriously;13814.18;23346.4;8448.36;24996.94;6461.8;SALVADOR
2;joyfully;12786.32;25144.07;8618.06;10385.68;10815.21;PALMAS
3;or which;17550.02;17103.26;16031.51;8614.86;27279.9;SAO_LUIS
4;electroplate bah;7435.23;12106.67;15593.74;7303.16;18236.83;ARACAJU
5;bleak whoever left;19007.93;364.78;9035.47;7637.24;15032.06;MACAPA
6;after;9039.62;24664.85;14093.14;22756.44;25103.4;MACAPA
7;ack tremor ideal;16900.25;26528.67;10102.56;1980.6;31553.26;SAO_PAULO
8;provision sharply;28693.9;13096.64;15830.34;11283.81;12037.18;TERESINA
9;nor times constant;23663.03;2110.66;5009.27;24519.77;16709.08;CUIABA
10;alongside tent ruddy;32552.6;20698.18;12379.66;26330.64;19184.41;BOA_VISTA
